check_id,claim,observed,criterion,status,software_version
V2R-01,accepted v1.9.3 scientific fingerprints,0,zero errors,Verified,2.0.0
V2R-02,sealed v1.9.3 parent identity,122ebd1d81a181cd54f6aa827edafa9f18f898eeb2c6756a123a5a9cb5e55f85,accepted SHA-256,Verified,2.0.0
V2R-03,Bauer executable paths removed,[],empty,Verified,2.0.0
V2R-04,legacy implementation modules removed,[],empty,Verified,2.0.0
V2R-05,public figure sequence,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",Figures 1 through 11,Verified,2.0.0
V2R-06,registered public figure pairs,[],all PDF/PNG pairs present,Verified,2.0.0
V2R-07,README key image,figures/figure-07-final-estimator-aware-epps-v2.png,figures/figure-07-final-estimator-aware-epps-v2.png,Verified,2.0.0
V2R-08,README development lineage,True,complete version lineage present,Verified,2.0.0
V2R-09,boundary representation documented,True,all correction terms present,Verified,2.0.0
V2R-10,compact Bauer attribution retained,2683,non-executable provenance document,Verified,2.0.0
V2R-11,Figure 11 path and return diagnostics,True,three explicit panels,Verified,2.0.0
V2R-12,Figure 11 trade-sign ACF,True,explicit panel,Verified,2.0.0
V2R-13,Figure 11 price-level ACF excluded,True,explicit exclusion,Verified,2.0.0
V2R-14,final curve inventory,20,20 registered lags,Verified,2.0.0
V2R-15,estimator-aware RMSE,0.039719091508260605,0.039719 within 5e-6,Verified,2.0.0
V2R-16,leading-order RMSE,0.06696349022251445,0.066963 within 5e-6,Verified,2.0.0
V2R-17,standardized RMSE,0.45513225399020835,0.455132 within 5e-6,Verified,2.0.0
V2R-18,normal-band coverage,1.0,1.0,Verified,2.0.0
V2R-19,no parameter refit,False,False,Verified,2.0.0
V2R-20,single strict entrypoint,['scripts/run_all.py'],scripts/run_all.py only,Verified,2.0.0
V2R-21,active route complete,19,all registered steps exist,Verified,2.0.0
V2R-22,source-v1 remains frozen,True,true,Verified,2.0.0
V2R-23,v2 supplement source,True,present,Verified,2.0.0
V2R-24,v2 compiled supplement,True,present,Verified,2.0.0
V2R-25,no cache or gate-only report files,[],empty,Verified,2.0.0
V2R-26,GitHub inspection precedes tag,"[True, True]",both true,Verified,2.0.0
V2R-27,final release identity,"['v2.0.0', 'v2.0.0 — Reproducibility code for arXiv:2606.14182', 'correlation-emergence-reproducibility-v2.0.0.zip']",fixed v2.0.0 identity,Verified,2.0.0
V2R-28,release state remains untagged,"['untagged_v2.0.0_candidate', False, False]",untagged candidate; no release,Verified,2.0.0
