category,item,implementation_status,contract,software_version
architecture,operational_dynamics,frozen,uniform_fixed_grid_only,1.8.0
architecture,event_application,frozen,density_delta_then_one_uniform_operational_step,1.8.0
architecture,clock_increment_rule,frozen,calendar_increment_equals_operational_increment_divided_by_operational_rate,1.8.0
architecture,calendar_observation,frozen,book_specific_previous_refresh_after_complete_operational_path,1.8.0
architecture,calendar_interpolation,frozen,forbidden,1.8.0
architecture,legacy_nonuniform_state_update,frozen,forbidden,1.8.0
event_taxonomy,limit_order,implemented,implemented_passive_one_cell_noncrossing_placement,1.8.0
event_taxonomy,market_order,implemented,implemented_boundary_outward_opposing_liquidity_consumption,1.8.0
event_taxonomy,cancellation,reserved,reserved_distinct_event_type_not_implemented,1.8.0
trade_sign,ground_truth_aggressor,implemented,market_order_side_with_passive_events_zero,1.8.0
trade_sign,quote_midpoint,implemented,sign_of_execution_log_price_minus_pre_event_mid_log_price,1.8.0
trade_sign,tick_rule,implemented,first_zero_then_price_change_sign_with_zero_tick_carry,1.8.0
impact_matrix,event_book_0_response_book_0,registered,own,1.8.0
impact_matrix,event_book_0_response_book_1,registered,cross,1.8.0
impact_matrix,event_book_1_response_book_0,registered,cross,1.8.0
impact_matrix,event_book_1_response_book_1,registered,own,1.8.0
stage_sequence,v1.8.0,registered,event_semantics_and_impact_entry,1.8.0
stage_sequence,v1.8.1,registered,single_trade_own_and_cross_impact,1.8.0
stage_sequence,v1.8.2,registered,meta_order_own_and_cross_impact,1.8.0
stage_sequence,v1.8.3,registered,mid_price_and_trade_sign_dependence,1.8.0
stage_sequence,v1.9.0,registered,final_estimator_aware_combined_epps_integration,1.8.0
stage_sequence,v1.9.1,registered,release_streamlining,1.8.0
stage_sequence,v2.0.0,registered,final_release,1.8.0
release_streamlining,release_critical,registered,release_critical,1.8.0
release_streamlining,provenance_archive_only,registered,provenance_archive_only,1.8.0
release_streamlining,development_only,registered,development_only,1.8.0
