check_id,claim,observed,criterion,status,software_version
V21R-01,release configuration identity,"['2.1.0', 'release_conformity_and_science_consistency']",v2.1.0 release conformity,Verified,2.1.0
V21R-02,frozen v2.0.0 and source-v1 inputs,{},no hash errors,Verified,2.1.0
V21R-03,accepted Figures 12--14 and supplement,{},no hash errors,Verified,2.1.0
V21R-04,README release identity,True,v2.1.0 release identity,Verified,2.1.0
V21R-05,changelog release identity,True,dated v2.1.0 entry,Verified,2.1.0
V21R-06,citation version,"[True, False]",v2.1.0 and no premature release date,Verified,2.1.0
V21R-07,v2.1.0 release notes,"['Figure 7', 'Figure 12', 'Figure 13', 'Figure 14']",all release topics,Verified,2.1.0
V21R-08,streamlined publication contract,"['archive_name', 'release_title', 'single_release_archive', 'tag', 'version']",five fixed release fields,Verified,2.1.0
V21R-09,final release identity,"['v2.1.0', 'v2.1.0', 'correlation-emergence-reproducibility-v2.1.0.zip']",fixed v2.1.0 identity,Verified,2.1.0
V21R-10,public figure sequence,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",Figures 1 through 14,Verified,2.1.0
V21R-11,public figure PDF/PNG pairs,"{'numbered': [], 'figure_7_standalones': []}",all Figure 1--14 pairs including Figure 7a--7c,Verified,2.1.0
V21R-12,reader-facing image resolution,"{'7a': (1408, 1408), '7b': (1408, 1408), '7c': (1408, 1408), '12': (4500, 3600), '13': (3960, 4560), '14': (3600, 2580)}",F7a--F7c 1408x1408; F12 4500x3600; F13 3960x4560; F14 3600x2580,Verified,2.1.0
V21R-13,enriched supplement exists,2367668,nonempty compiled PDF,Verified,2.1.0
V21R-14,algorithmic supplement and todonote surface,"{'algorithm_controls': ['algorithmicx', 'renewal-clock-construction', 'paired-clock-impact'], 'active_todo_commands': []}",all three algorithm controls and no active todo commands,Verified,2.1.0
V21R-15,README embeds Figures 12--14,"[True, True, True]",all embedded,Verified,2.1.0
V21R-16,exogenous-memory boundary,"{'public_figure_numbers': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'long_memory_input': 'declared_exogenous_heavy_tailed_order_splitting', 'observation_rule': 'book_specific_previous_refresh', 'impact_estimand': 'unconditional_common_input_shocked_minus_control', 'parameters_refitted': False, 'endogenous_memory_claim': False, 'empirical_calibration_claim': False, 'accepted_stage_7_qualifications': 6}",no endogenous or empirical claim and no refit,Verified,2.1.0
V21R-17,clock-impact science and mathematics checks,"[20, Counter({'Verified': 20})]","20 verified, zero failures",Verified,2.1.0
V21R-18,v2.1.0 integration checks,"[32, Counter({'Verified': 32})]","32 verified, zero failures",Verified,2.1.0
V21R-19,all retained diagnostics,"{'Verified': 678, 'Qualified': 5}",zero failed statuses,Verified,2.1.0
V21R-20,accepted Stage 7 qualifications,"[{'check_id': 'S7CL-15', 'check': 'qualified Stage 7 checks', 'observed': '6', 'criterion': 'equals 6', 'status': 'Verified', 'software_version': '1.7.12'}]",closure records exactly six,Verified,2.1.0
V21R-21,final active release audit,scripts/44_run_v2_1_release_audit.py,scripts/44_run_v2_1_release_audit.py,Verified,2.1.0
V21R-22,single reproduction entry point,['scripts/run_all.py'],scripts/run_all.py only,Verified,2.1.0
V21R-23,release files in complete manifest,[],no missing paths,Verified,2.1.0
V21R-24,README local links,[],no missing local target,Verified,2.1.0
V21R-25,license surface,"[True, True, True]",code and content licenses declared,Verified,2.1.0
V21R-26,private governance files excluded,[],none,Verified,2.1.0
V21R-27,cache and staging paths excluded,[],none,Verified,2.1.0
V21R-28,single release archive policy,True,true,Verified,2.1.0
V21R-29,internal recovery labels absent from tracked text,[],none,Verified,2.1.0
V21R-30,internal recovery labels absent from tracked paths,[],none,Verified,2.1.0
