diagnostic_id,diagnostic,expected_result,tolerance,observed_result,maximum_error,status,supports,does_not_prove
D01,Ordinary zero and small-argument limit,F(0)=0 and the declared small-x series is recovered,abs error <= 1.0e-12,F(0)=0.000e+00; series error at 1e-6=0.000e+00,0.0,Verified,Stable evaluation at the origin,Validity of the modelling approximation
D02,Ordinary bounds and monotonicity,0 <= F(x) < 1 and non-decreasing for x >= 0,violation <= 1.0e-12,"range=[0.00000500, 0.99000000]; min increment=1.641e-07",0.0,Verified,Qualitative ordinary-kernel behaviour,Empirical validity of the Epps envelope
D03,Ordinary analytic derivative,Analytic derivative agrees with centred finite differences,max error <= 2.0e-07,max error=2.084e-10,2.0837831460340794e-10,Verified,Rate-sensitivity calculation,Global parameter identifiability
D04,Ordinary elasticity limits,S_F -> 1 at short scale and S_F -> 0 at long scale,combined limit error <= 2.0e-05,S(1e-8)=0.999999996667; S(1e5)=1.000e-05,1.000010000100001e-05,Verified,Aggregation-scale sensitivity interpretation,An estimator's finite-sample information content
D05,Fractional alpha-one recovery,F_alpha with alpha=1 equals the ordinary kernel,max error <= 2.0e-13,max error=0.000e+00,0.0,Verified,Correct ordinary endpoint of the fractional evaluator,Accuracy for all complex Mittag-Leffler arguments
D06,Fractional independent reference values,Release evaluator matches adaptive-quadrature references,max error <= 2.0e-09,six-point max error=1.571e-13,1.5709655798445965e-13,Verified,Accuracy on the planned non-negative real-axis profiles,A general-purpose Mittag-Leffler implementation
D07,Fractional bounds and monotonicity,"Release curves remain in [0,1] and non-decreasing",violation <= 2.0e-09,maximum violation=0.000e+00,0.0,Verified,Qualitative stability over the plotting grid,Fractional-clock empirical validity
D08,Decaying-Gaussian first moment,Numerical full-domain selected moment equals analytic half-line moment,relative error <= 2.0e-06,analytic=-0.443113462726; numerical=-0.443113462726,0.0,Verified,The active analytic moment implementation,Equivalence to the legacy positive-exponential source
D09,Centred-selector continuum invariance,Symmetric first moment is independent of selector width,relative error <= 2.0e-06,max relative error over three epsilon values=2.220e-16,2.220446049250313e-16,Verified,Parity control for the finite-grid experiment,Invariance for asymmetric kernels or domains
D10,Centred finite-grid convergence,Moment error decreases from a deliberately coarse lattice under refinement,finest error <= 2.0e-05,"errors=1.935e-01,1.939e-03,1.635e-06,1.110e-15",1.1102230246251565e-15,Verified,Numerical representation convergence,Convergence of the future legacy simulator
D11,Boundary baseline response normalisation,Two-book baseline total response rate equals one,abs error <= 1.0e-12,kappa_total=1.000000000000,1.1102230246251565e-16,Verified,Transparent Figure 4 nondimensionalisation,A calibrated physical response rate
D12,Combined-factor construction,Combined curve equals diagnosed component product and remains bounded,violation <= 1.0e-12,"range=[0.00000025, 0.98010000]",0.0,Verified,Implementation of the stated leading-order factorisation,Independence or exactness of the factorisation
D13,Invalid-input handling,Four invalid parameter cases fail clearly,all four raise ValueError,caught=4/4,0.0,Verified,Clear failure for out-of-domain inputs,Protection against every possible misuse
D14,v2 analytic/simulation overlay contract,Required scientific and provenance roles are declared,all ten roles present,declared roles=10/10,0.0,Verified,A stable semantic interface for future simulation curves,Compatibility with an implementation not yet converted
